***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,GCACFG,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Hadamard,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,950,,,,,,Start Wavelength (nm):,900.0,,,,,,
End Wavelength (nm):,1650,,,,,,End Wavelength (nm):,1700.0,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,300,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,16,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,
System Temp (C):,32.99,,,,,,System Temp (C):,22.64,,,,,,,
Humidity (%):,65.6,,,,,,Humidity (%):,32.0,,,,,,
Battery Capacity (%):,97,,,,,,Lamp Indicator:,845,,,,,,,
Lamp ADC:,3053,3075,848,837,,,Data Date-Time:,23/1/6T19:6:26
Data Date-Time:,24/10/4T11:51:48,,,,,,,,,,,,,,
Total Measurement Time in sec:,7.346,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-X-XX,,,,,,Shift Vector Coefficients:,-3.7796363779115723,0.038358433248661464,-9.420811808630703E-5,,,,,
Serial Number:,B50R085,95UB123GC0VB50R085,,,,,Pixel to Wavelength Coefficients:,1759.08742666362,-0.9236467962778762,-2.4101105395423096E-4,,,,,
APP Version:,2.18.18,,,,,,,,,,,,,
TIVA Version:,2.6.3,,,,,,***Lamp Usage * **,,,,,,,,
UUID:,DE:67:0C:88:67:45:81:21,,,,,,Total Time(HH:MM:SS):,5hr 11min 55sec ,,,,,,,
Main Board Version:,F,,,,,,***Device/Error Status***,,,,,,,,
Detector Board Version:,C,,,,,,Device Status:,0x00000031,,,,,,
,,,,,,,Error status:,0x00000000,Error Code:,0x0000000000000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not Found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
1417.7303449957528,1.7766135,850244.0,14221
1419.9039675553627,1.7789841,850870.0,14154
1422.0756620265406,1.7846388,851485.0,13981
1424.2454284092873,1.7849029,852125.0,13983
1426.4132667036022,1.787796,852790.0,13901
1428.5791769094853,1.7894549,852913.0,13850
1430.743159026937,1.7912799,853227.0,13797
1432.905213055957,1.7931778,853734.0,13745
1435.0653389965453,1.7920642,853716.0,13780
1437.223536848702,1.7948697,853699.0,13691
1439.379806612427,1.7945212,854136.0,13709
1442.6105960922055,1.7991865,853914.0,13559
1444.7620456348513,1.7980316,853342.0,13586
1446.9115670890658,1.7979614,852639.0,13577
1449.0591604548486,1.8007357,852099.0,13482
1451.2048257321994,1.8021857,851207.0,13423
1453.348562921119,1.8014534,849963.0,13426
1455.4903720216068,1.8026732,848608.0,13367
1457.630253033663,1.8040613,846994.0,13299
1459.7682059572876,1.8045069,845122.0,13256
1461.9042307924806,1.8077896,843119.0,13125
1464.038327539242,1.8046422,840985.0,13187
1466.1704961975715,1.8072767,838595.0,13070
1468.3007367674695,1.8119239,836008.0,12891
1470.4290492489358,1.8127388,833225.0,12824
1473.6179028053261,1.8125839,828901.0,12762
1475.7413950657133,1.8180739,825764.0,12554
1477.862959237669,1.8211267,822448.0,12416
1479.982595321193,1.8237065,818952.0,12290
1482.1003033162856,1.822276,815329.0,12276
1484.2160832229463,1.8253477,811618.0,12134
1486.3299350411753,1.8233459,807819.0,12133
1488.4418587709729,1.827104,803960.0,11971
1490.5518544123388,1.827274,800042.0,11908
1492.659921965273,1.8251127,795402.0,11898
1494.7660614297756,1.8246919,790758.0,11840
1496.8702728058465,1.8222784,786110.0,11836
1498.9725560934858,1.8206915,781456.0,11809
1502.1223658591357,1.8188916,774402.0,11751
1504.2198289256958,1.8175275,769477.0,11713
1506.3153639038244,1.8183529,764359.0,11613
1508.4089707935213,1.8167804,758842.0,11571
1510.5006495947866,1.8152696,753331.0,11527
1512.5904003076205,1.8161879,748180.0,11424
1514.6782229320224,1.8143128,742544.0,11387
1516.764117467993,1.8118255,736423.0,11358
1518.8480839155318,1.8123338,730859.0,11259
1520.930122274639,1.8143882,725063.0,11117
1523.0102325453145,1.8148043,719034.0,11014
1525.0884147275583,1.8178482,712915.0,10844
